VACUNA,ANIO,MES,RANGO_EDAD,POBLACION,PROVINCIA,DISTRITO,PRESUPUESTO,CANTIDAD DE PERSONAL,CANTIDAD
AMA,2020,ENERO,1_ANIO,12065,PADRE ABAD,IRAZOLA,777891,42.0,7
AMA,2020,ENERO,1_ANIO,12350,CORONEL PORTILLO,IPARIA,777891,41.0,7
AMA,2020,ENERO,1_ANIO,19598,CORONEL PORTILLO,CAMPOVERDE,777891,61.0,18
AMA,2020,ENERO,1_ANIO,38100,PADRE ABAD,PADRE ABAD,777891,91.0,14
AMA,2020,ENERO,1_ANIO,39732,ATALAYA,RAIMONDI,777891,84.0,3
AMA,2020,ENERO,1_ANIO,107364,CORONEL PORTILLO,MANANTAY,777891,124.0,56
AMA,2020,ENERO,1_ANIO,118666,CORONEL PORTILLO,YARINACOCHA,777891,375.0,61
AMA,2020,ENERO,1_ANIO,172052,CORONEL PORTILLO,CALLERIA,777891,572.0,119
AMA,2020,FEBRERO,1_ANIO,2435,ATALAYA,YURUA,761802,7.0,0
AMA,2020,FEBRERO,1_ANIO,3284,PURUS,PURUS,761802,17.0,7
AMA,2020,FEBRERO,1_ANIO,5742,CORONEL PORTILLO,NUEVA REQUENA,761802,22.0,5
AMA,2020,FEBRERO,1_ANIO,6159,PADRE ABAD,ALEXANDER VON HUMBOLDT,761802,8.0,5
AMA,2020,FEBRERO,1_ANIO,8264,ATALAYA,SEPAHUA,761802,14.0,3
AMA,2020,FEBRERO,1_ANIO,10219,PADRE ABAD,CURIMANA,761802,18.0,9
AMA,2020,FEBRERO,1_ANIO,10501,PADRE ABAD,NESHUYA,761802,25.0,23
AMA,2020,FEBRERO,1_ANIO,10618,ATALAYA,TAHUANIA,761802,24.0,0
AMA,2020,FEBRERO,1_ANIO,11961,CORONEL PORTILLO,MASISEA,761802,44.0,12
AMA,2020,FEBRERO,1_ANIO,12065,PADRE ABAD,IRAZOLA,761802,43.0,8
AMA,2020,FEBRERO,1_ANIO,12350,CORONEL PORTILLO,IPARIA,761802,43.0,2
AMA,2020,FEBRERO,1_ANIO,19598,CORONEL PORTILLO,CAMPOVERDE,761802,61.0,10
AMA,2020,FEBRERO,1_ANIO,38100,PADRE ABAD,PADRE ABAD,761802,91.0,30
AMA,2020,FEBRERO,1_ANIO,39732,ATALAYA,RAIMONDI,761802,85.0,26
AMA,2020,FEBRERO,1_ANIO,107364,CORONEL PORTILLO,MANANTAY,761802,125.0,30
AMA,2020,FEBRERO,1_ANIO,118666,CORONEL PORTILLO,YARINACOCHA,761802,379.0,70
AMA,2020,FEBRERO,1_ANIO,172052,CORONEL PORTILLO,CALLERIA,761802,574.0,75
AMA,2020,JULIO,1_ANIO,2435,ATALAYA,YURUA,804264,7.0,0
AMA,2020,JULIO,1_ANIO,3284,PURUS,PURUS,804264,17.0,1
AMA,2020,JULIO,1_ANIO,5742,CORONEL PORTILLO,NUEVA REQUENA,804264,22.0,0
AMA,2020,JULIO,1_ANIO,6159,PADRE ABAD,ALEXANDER VON HUMBOLDT,804264,8.0,1
AMA,2020,JULIO,1_ANIO,8264,ATALAYA,SEPAHUA,804264,14.0,0
AMA,2020,JULIO,1_ANIO,10219,PADRE ABAD,CURIMANA,804264,18.0,15
AMA,2020,JULIO,1_ANIO,10501,PADRE ABAD,NESHUYA,804264,24.0,19
AMA,2020,JULIO,1_ANIO,10618,ATALAYA,TAHUANIA,804264,24.0,0
AMA,2020,JULIO,1_ANIO,11961,CORONEL PORTILLO,MASISEA,804264,44.0,17
AMA,2020,JULIO,1_ANIO,12065,PADRE ABAD,IRAZOLA,804264,42.0,1
AMA,2020,JULIO,1_ANIO,12350,CORONEL PORTILLO,IPARIA,804264,41.0,22
AMA,2020,JULIO,1_ANIO,19598,CORONEL PORTILLO,CAMPOVERDE,804264,61.0,20
AMA,2020,JULIO,1_ANIO,38100,PADRE ABAD,PADRE ABAD,804264,91.0,10
AMA,2020,JULIO,1_ANIO,39732,ATALAYA,RAIMONDI,804264,84.0,6
AMA,2020,JULIO,1_ANIO,107364,CORONEL PORTILLO,MANANTAY,804264,124.0,61
AMA,2020,JULIO,1_ANIO,118666,CORONEL PORTILLO,YARINACOCHA,804264,375.0,58
AMA,2020,JULIO,1_ANIO,172052,CORONEL PORTILLO,CALLERIA,804264,572.0,95
AMA,2020,JUNIO,1_ANIO,2435,ATALAYA,YURUA,718822,6.0,1
AMA,2020,JUNIO,1_ANIO,3284,PURUS,PURUS,718822,17.0,6
AMA,2020,JUNIO,1_ANIO,5742,CORONEL PORTILLO,NUEVA REQUENA,718822,21.0,0
AMA,2020,JUNIO,1_ANIO,6159,PADRE ABAD,ALEXANDER VON HUMBOLDT,718822,7.0,0
AMA,2020,JUNIO,1_ANIO,8264,ATALAYA,SEPAHUA,718822,14.0,0
AMA,2020,JUNIO,1_ANIO,10219,PADRE ABAD,CURIMANA,718822,21.0,0
AMA,2020,JUNIO,1_ANIO,10501,PADRE ABAD,NESHUYA,718822,27.0,9
AMA,2020,JUNIO,1_ANIO,10618,ATALAYA,TAHUANIA,718822,23.0,0
AMA,2020,JUNIO,1_ANIO,11961,CORONEL PORTILLO,MASISEA,718822,49.0,7
AMA,2020,JUNIO,1_ANIO,12065,PADRE ABAD,IRAZOLA,718822,42.0,9
AMA,2020,JUNIO,1_ANIO,12350,CORONEL PORTILLO,IPARIA,718822,40.0,0
AMA,2020,JUNIO,1_ANIO,19598,CORONEL PORTILLO,CAMPOVERDE,718822,58.0,15
AMA,2020,JUNIO,1_ANIO,38100,PADRE ABAD,PADRE ABAD,718822,98.0,4
AMA,2020,JUNIO,1_ANIO,39732,ATALAYA,RAIMONDI,718822,92.0,16
AMA,2020,JUNIO,1_ANIO,107364,CORONEL PORTILLO,MANANTAY,718822,143.0,20
AMA,2020,JUNIO,1_ANIO,118666,CORONEL PORTILLO,YARINACOCHA,718822,382.0,15
AMA,2020,JUNIO,1_ANIO,172052,CORONEL PORTILLO,CALLERIA,718822,603.0,26
AMA,2020,MARZO,1_ANIO,2435,ATALAYA,YURUA,751336,7.0,0
AMA,2020,MARZO,1_ANIO,3284,PURUS,PURUS,751336,17.0,6
AMA,2020,MARZO,1_ANIO,5742,CORONEL PORTILLO,NUEVA REQUENA,751336,22.0,7
AMA,2020,MARZO,1_ANIO,6159,PADRE ABAD,ALEXANDER VON HUMBOLDT,751336,8.0,0
AMA,2020,MARZO,1_ANIO,8264,ATALAYA,SEPAHUA,751336,14.0,7
AMA,2020,MARZO,1_ANIO,10219,PADRE ABAD,CURIMANA,751336,18.0,9
AMA,2020,MARZO,1_ANIO,10501,PADRE ABAD,NESHUYA,751336,26.0,9
AMA,2020,MARZO,1_ANIO,10618,ATALAYA,TAHUANIA,751336,24.0,0
AMA,2020,MARZO,1_ANIO,11961,CORONEL PORTILLO,MASISEA,751336,45.0,17
AMA,2020,MARZO,1_ANIO,12065,PADRE ABAD,IRAZOLA,751336,43.0,4
AMA,2020,MARZO,1_ANIO,12350,CORONEL PORTILLO,IPARIA,751336,43.0,6
AMA,2020,MARZO,1_ANIO,19598,CORONEL PORTILLO,CAMPOVERDE,751336,60.0,6
AMA,2020,MARZO,1_ANIO,38100,PADRE ABAD,PADRE ABAD,751336,89.0,3
AMA,2020,MARZO,1_ANIO,39732,ATALAYA,RAIMONDI,751336,86.0,15
AMA,2020,MARZO,1_ANIO,107364,CORONEL PORTILLO,MANANTAY,751336,131.0,29
AMA,2020,MARZO,1_ANIO,118666,CORONEL PORTILLO,YARINACOCHA,751336,382.0,39
AMA,2020,MARZO,1_ANIO,172052,CORONEL PORTILLO,CALLERIA,751336,573.0,42
AMA,2020,MAYO,1_ANIO,2435,ATALAYA,YURUA,710703,7.0,0
AMA,2020,MAYO,1_ANIO,3284,PURUS,PURUS,710703,18.0,7
AMA,2020,MAYO,1_ANIO,5742,CORONEL PORTILLO,NUEVA REQUENA,710703,22.0,0
AMA,2020,MAYO,1_ANIO,6159,PADRE ABAD,ALEXANDER VON HUMBOLDT,710703,7.0,0
AMA,2020,MAYO,1_ANIO,8264,ATALAYA,SEPAHUA,710703,13.0,0
AMA,2020,MAYO,1_ANIO,10219,PADRE ABAD,CURIMANA,710703,20.0,0
AMA,2020,MAYO,1_ANIO,10501,PADRE ABAD,NESHUYA,710703,27.0,1
AMA,2020,MAYO,1_ANIO,10618,ATALAYA,TAHUANIA,710703,23.0,1
AMA,2020,MAYO,1_ANIO,11961,CORONEL PORTILLO,MASISEA,710703,49.0,6
AMA,2020,MAYO,1_ANIO,12065,PADRE ABAD,IRAZOLA,710703,41.0,1
AMA,2020,MAYO,1_ANIO,12350,CORONEL PORTILLO,IPARIA,710703,43.0,0
AMA,2020,MAYO,1_ANIO,19598,CORONEL PORTILLO,CAMPOVERDE,710703,58.0,4
AMA,2020,MAYO,1_ANIO,38100,PADRE ABAD,PADRE ABAD,710703,96.0,2
AMA,2020,MAYO,1_ANIO,39732,ATALAYA,RAIMONDI,710703,89.0,34
AMA,2020,MAYO,1_ANIO,107364,CORONEL PORTILLO,MANANTAY,710703,136.0,1
AMA,2020,MAYO,1_ANIO,118666,CORONEL PORTILLO,YARINACOCHA,710703,384.0,3
AMA,2020,MAYO,1_ANIO,172052,CORONEL PORTILLO,CALLERIA,710703,603.0,4
AMA,2020,NOVIEMBRE,1_ANIO,2435,ATALAYA,YURUA,1348304,7.0,0
AMA,2020,NOVIEMBRE,1_ANIO,3284,PURUS,PURUS,1348304,17.0,11
AMA,2020,NOVIEMBRE,1_ANIO,5742,CORONEL PORTILLO,NUEVA REQUENA,1348304,30.0,8
AMA,2020,NOVIEMBRE,1_ANIO,6159,PADRE ABAD,ALEXANDER VON HUMBOLDT,1348304,11.0,5
AMA,2020,NOVIEMBRE,1_ANIO,8264,ATALAYA,SEPAHUA,1348304,17.0,45
AMA,2020,NOVIEMBRE,1_ANIO,10219,PADRE ABAD,CURIMANA,1348304,19.0,4
AMA,2020,NOVIEMBRE,1_ANIO,10501,PADRE ABAD,NESHUYA,1348304,27.0,17
AMA,2020,NOVIEMBRE,1_ANIO,10618,ATALAYA,TAHUANIA,1348304,28.0,0
AMA,2020,NOVIEMBRE,1_ANIO,11961,CORONEL PORTILLO,MASISEA,1348304,47.0,39
AMA,2020,NOVIEMBRE,1_ANIO,12065,PADRE ABAD,IRAZOLA,1348304,47.0,13
AMA,2020,NOVIEMBRE,1_ANIO,12350,CORONEL PORTILLO,IPARIA,1348304,35.0,14
AMA,2020,NOVIEMBRE,1_ANIO,19598,CORONEL PORTILLO,CAMPOVERDE,1348304,56.0,8
AMA,2020,NOVIEMBRE,1_ANIO,38100,PADRE ABAD,PADRE ABAD,1348304,111.0,35
AMA,2020,NOVIEMBRE,1_ANIO,39732,ATALAYA,RAIMONDI,1348304,120.0,89
AMA,2020,NOVIEMBRE,1_ANIO,107364,CORONEL PORTILLO,MANANTAY,1348304,145.0,90
AMA,2020,NOVIEMBRE,1_ANIO,118666,CORONEL PORTILLO,YARINACOCHA,1348304,421.0,123
AMA,2020,NOVIEMBRE,1_ANIO,172052,CORONEL PORTILLO,CALLERIA,1348304,667.0,211
AMA,2020,OCTUBRE,1_ANIO,2435,ATALAYA,YURUA,858754,6.0,5
AMA,2020,OCTUBRE,1_ANIO,3284,PURUS,PURUS,858754,17.0,1
AMA,2020,OCTUBRE,1_ANIO,5742,CORONEL PORTILLO,NUEVA REQUENA,858754,30.0,27
AMA,2020,OCTUBRE,1_ANIO,6159,PADRE ABAD,ALEXANDER VON HUMBOLDT,858754,11.0,3
AMA,2020,OCTUBRE,1_ANIO,8264,ATALAYA,SEPAHUA,858754,17.0,43
AMA,2020,OCTUBRE,1_ANIO,10219,PADRE ABAD,CURIMANA,858754,19.0,8
AMA,2020,OCTUBRE,1_ANIO,10501,PADRE ABAD,NESHUYA,858754,27.0,16
AMA,2020,OCTUBRE,1_ANIO,10618,ATALAYA,TAHUANIA,858754,28.0,3
AMA,2020,OCTUBRE,1_ANIO,11961,CORONEL PORTILLO,MASISEA,858754,46.0,35
AMA,2020,OCTUBRE,1_ANIO,12065,PADRE ABAD,IRAZOLA,858754,47.0,7
AMA,2020,OCTUBRE,1_ANIO,12350,CORONEL PORTILLO,IPARIA,858754,35.0,18
