VACUNA,ANIO,MES,PROVINCIA,RANGO_EDAD,CANTIDAD DE PERSONAL,POBLACION,PRESUPUESTO,CANTIDAD,UBIGEO,ALFABETISMO,AGUA_POTABLE,DEMORA_CITA_horas,DEMORA_TRASLADO_horas
AMA,2022,DICIEMBRE,PURUS,1_ANIO,25,3270,996898,2,250400,0.0,0.0,0.0,0.0
AMA,2022,ENERO,ATALAYA,1_ANIO,198,2564,684081,29,250200,0.255,0.0,0.392,5.008
AMA,2022,ENERO,CORONEL PORTILLO,1_ANIO,1527,5843,684081,270,250100,0.14,0.244,61.612,0.21
AMA,2022,ENERO,PADRE ABAD,1_ANIO,245,6380,684081,22,250300,0.318,0.5,0.25,0.139
AMA,2022,ENERO,PURUS,1_ANIO,20,3270,684081,2,250400,0.0,0.0,0.0,0.0
AMA,2022,FEBRERO,ATALAYA,1_ANIO,183,2564,910655,63,250200,0.167,0.124,0.0,0.0
AMA,2022,FEBRERO,CORONEL PORTILLO,1_ANIO,1576,5843,910655,255,250100,0.135,0.267,0.47,1.187
AMA,2022,FEBRERO,PADRE ABAD,1_ANIO,234,6380,910655,43,250300,0.216,0.143,0.3,0.717
AMA,2022,FEBRERO,PURUS,1_ANIO,21,3270,910655,4,250400,0.0,0.0,0.0,0.0
AMA,2022,JULIO,ATALAYA,1_ANIO,217,2564,1104057,50,250200,0.214,0.387,0.861,0.556
AMA,2022,JULIO,CORONEL PORTILLO,1_ANIO,1554,5843,1104057,248,250100,0.19,0.299,12.455,0.231
AMA,2022,JULIO,PADRE ABAD,1_ANIO,257,6380,1104057,55,250300,0.15,0.333,0.562,0.054
AMA,2022,JULIO,PURUS,1_ANIO,21,3270,1104057,1,250400,0.0,0.0,0.0,0.0
AMA,2022,JUNIO,ATALAYA,1_ANIO,209,2564,709615,38,250200,0.25,0.294,0.926,0.38
AMA,2022,JUNIO,CORONEL PORTILLO,1_ANIO,1558,5843,709615,206,250100,0.168,0.435,1.494,0.237
AMA,2022,JUNIO,PADRE ABAD,1_ANIO,250,6380,709615,41,250300,0.2,0.667,0.0,0.0
AMA,2022,JUNIO,PURUS,1_ANIO,21,3270,709615,3,250400,0.0,0.0,0.0,0.0
AMA,2022,MARZO,ATALAYA,1_ANIO,186,2564,784465,37,250200,0.135,0.294,0.25,1.25
AMA,2022,MARZO,CORONEL PORTILLO,1_ANIO,1603,5843,784465,215,250100,0.146,0.544,34.479,0.24
AMA,2022,MARZO,PADRE ABAD,1_ANIO,238,6380,784465,51,250300,0.205,0.0,0.111,0.222
AMA,2022,MARZO,PURUS,1_ANIO,21,3270,784465,6,250400,0.0,0.0,0.0,0.0
AMA,2022,MAYO,ATALAYA,1_ANIO,195,2564,760212,46,250200,0.291,0.074,0.55,0.55
AMA,2022,MAYO,CORONEL PORTILLO,1_ANIO,1565,5843,760212,288,250100,0.223,0.141,2.559,0.379
AMA,2022,MAYO,PADRE ABAD,1_ANIO,254,6380,760212,36,250300,0.236,0.163,27.777,0.625
AMA,2022,MAYO,PURUS,1_ANIO,24,3270,760212,4,250400,0.0,0.0,0.0,0.0
AMA,2022,NOVIEMBRE,ATALAYA,1_ANIO,222,2564,677800,91,250200,0.233,0.053,0.0,0.0
AMA,2022,NOVIEMBRE,CORONEL PORTILLO,1_ANIO,1698,5843,677800,244,250100,0.195,0.202,62.816,0.27
AMA,2022,NOVIEMBRE,PADRE ABAD,1_ANIO,284,6380,677800,55,250300,0.265,0.188,1.815,0.215
AMA,2022,NOVIEMBRE,PURUS,1_ANIO,25,3270,677800,2,250400,0.0,0.0,0.0,0.0
AMA,2022,OCTUBRE,ATALAYA,1_ANIO,222,2564,541898,46,250200,0.351,0.053,1.667,1.667
AMA,2022,OCTUBRE,CORONEL PORTILLO,1_ANIO,1698,5843,541898,326,250100,0.188,0.575,14.481,0.13
AMA,2022,OCTUBRE,PADRE ABAD,1_ANIO,284,6380,541898,82,250300,0.174,0.261,0.465,0.396
AMA,2022,OCTUBRE,PURUS,1_ANIO,25,3270,541898,5,250400,0.0,0.0,0.0,0.0
AMA,2022,SETIEMBRE,ATALAYA,1_ANIO,202,2564,694132,46,250200,0.236,0.5,4.841,0.197
AMA,2022,SETIEMBRE,CORONEL PORTILLO,1_ANIO,1556,5843,694132,308,250100,0.124,0.343,14.974,0.547
AMA,2022,SETIEMBRE,PADRE ABAD,1_ANIO,258,6380,694132,32,250300,0.395,0.267,0.281,0.233
AMA,2022,SETIEMBRE,PURUS,1_ANIO,21,3270,694132,5,250400,0.0,0.0,0.0,0.0
APO,2019,ABRIL,CORONEL PORTILLO,<1_ANIO,932,5690,998497,216,250100,0.233,0.527,1.254,0.251
APO,2019,ABRIL,PADRE ABAD,<1_ANIO,54,6037,998497,29,250300,0.056,0.667,0.5,0.375
APO,2019,AGOSTO,CORONEL PORTILLO,<1_ANIO,884,5690,3650033,116,250100,0.161,0.292,6.27,0.216
APO,2019,AGOSTO,PADRE ABAD,<1_ANIO,49,6037,3650033,43,250300,0.219,0.667,0.31,0.119
APO,2019,DICIEMBRE,CORONEL PORTILLO,<1_ANIO,887,5690,1953340,177,250100,0.186,0.537,38.927,0.23
APO,2019,DICIEMBRE,PADRE ABAD,<1_ANIO,50,6037,1953340,32,250300,0.208,0.333,0.42,0.193
APO,2019,ENERO,CORONEL PORTILLO,<1_ANIO,878,5690,924269,212,250100,0.134,0.579,1.463,0.288
APO,2019,ENERO,PADRE ABAD,<1_ANIO,46,6037,924269,14,250300,0.263,0.145,0.311,0.25
APO,2019,FEBRERO,CORONEL PORTILLO,<1_ANIO,825,5690,1000320,163,250100,0.139,0.212,13.657,0.247
APO,2019,FEBRERO,PADRE ABAD,<1_ANIO,46,6037,1000320,17,250300,0.254,0.0,0.288,0.053
APO,2019,JULIO,CORONEL PORTILLO,<1_ANIO,932,5690,1352080,187,250100,0.19,0.433,29.353,0.341
APO,2019,JULIO,PADRE ABAD,<1_ANIO,54,6037,1352080,38,250300,0.394,0.304,0.167,0.083
APO,2019,JUNIO,CORONEL PORTILLO,<1_ANIO,889,5690,1235133,208,250100,0.229,0.376,3.274,0.161
