VACUNA,ANIO,MES,RANGO_EDAD,CANTIDAD DE PERSONAL,POBLACION,PRESUPUESTO,CANTIDAD,ALFABETISMO,AGUA_POTABLE,DEMORA_CITA_horas,DEMORA_TRASLADO_horas
APO,2022,ENERO,<1_ANIO,1970,2564,684081,690,0.2376666666666667,0.248,20.751333333333335,1.7856666666666667
APO,2022,FEBRERO,<1_ANIO,1993,2564,910655,636,0.17266666666666666,0.17800000000000002,0.25666666666666665,0.6346666666666666
APO,2022,JULIO,<1_ANIO,2028,2564,1104057,635,0.18466666666666667,0.33966666666666673,4.626,0.2803333333333334
APO,2022,JUNIO,<1_ANIO,2017,2564,709615,622,0.206,0.4653333333333333,0.8066666666666666,0.20566666666666666
APO,2022,MARZO,<1_ANIO,2027,2564,784465,749,0.162,0.2793333333333334,11.613333333333332,0.5706666666666667
APO,2022,MAYO,<1_ANIO,2014,2564,760212,654,0.25,0.126,10.295333333333334,0.518
APO,2022,NOVIEMBRE,<1_ANIO,2204,2564,677800,675,0.231,0.14766666666666667,21.543666666666667,0.16166666666666665
APO,2022,OCTUBRE,<1_ANIO,2204,2564,541898,676,0.23766666666666666,0.29633333333333334,5.5376666666666665,0.731
APO,2022,SETIEMBRE,<1_ANIO,2016,2564,694132,607,0.25166666666666665,0.37000000000000005,6.698666666666667,0.3256666666666667
APO2,2019,ABRIL,4_ANIOS,986,5690,998497,324,0.14450000000000002,0.597,0.877,0.313
APO2,2019,AGOSTO,4_ANIOS,933,5690,3650033,43,0.19,0.47950000000000004,3.2899999999999996,0.16749999999999998
APO2,2019,DICIEMBRE,4_ANIOS,937,5690,1953340,107,0.197,0.43500000000000005,19.6735,0.21150000000000002
APO2,2019,ENERO,4_ANIOS,924,5690,924269,153,0.1985,0.362,0.887,0.269
APO2,2019,FEBRERO,4_ANIOS,871,5690,1000320,132,0.1965,0.106,6.9725,0.15
APO2,2019,JULIO,4_ANIOS,986,5690,1352080,66,0.29200000000000004,0.3685,14.760000000000002,0.21200000000000002
APO2,2019,JUNIO,4_ANIOS,937,5690,1235133,50,0.186,0.438,2.0895,0.21750000000000003
APO2,2019,MARZO,4_ANIOS,986,5690,1003216,158,0.293,0.135,3.0425,0.5885
APO2,2019,MAYO,4_ANIOS,933,5690,1030125,214,0.22599999999999998,0.35450000000000004,20.503999999999998,0.28200000000000003
APO2,2019,NOVIEMBRE,4_ANIOS,936,5690,1813790,108,0.1755,0.405,8.0945,0.21
APO2,2019,OCTUBRE,4_ANIOS,986,5690,619318,184,0.243,0.33799999999999997,11.2205,0.247
APO2,2019,SETIEMBRE,4_ANIOS,943,5690,85800,272,0.136,0.494,25.7535,0.186
APO2,2020,ABRIL,4_ANIOS,1562,2435,815151,40,0.30933333333333335,0.4043333333333334,0.0,0.0
APO2,2020,AGOSTO,4_ANIOS,1734,2435,725676,284,0.43933333333333335,0.1376666666666667,0.0,0.0
APO2,2020,DICIEMBRE,4_ANIOS,1813,2435,161316,347,0.243,0.3193333333333333,0.8016666666666667,0.28733333333333333
APO2,2020,ENERO,4_ANIOS,1551,2435,777891,282,0.18333333333333335,0.42300000000000004,3.4973333333333336,0.20633333333333334
APO2,2020,FEBRERO,4_ANIOS,1563,2435,761802,326,0.2273333333333333,0.37966666666666665,8.130333333333335,0.18200000000000002
APO2,2020,JULIO,4_ANIOS,1551,2435,804264,255,0.4073333333333333,0.25066666666666665,0.0,0.0
APO2,2020,JUNIO,4_ANIOS,1626,2435,718822,86,0.48266666666666663,0.14933333333333332,0.0,0.0
APO2,2020,MARZO,4_ANIOS,1571,2435,751336,204,0.225,0.257,3.4586666666666672,0.7223333333333333
APO2,2020,MAYO,4_ANIOS,1618,2435,710703,52,0.49433333333333335,0.17866666666666667,0.0,0.0
APO2,2020,NOVIEMBRE,4_ANIOS,1788,2435,1348304,843,0.19499999999999998,0.27033333333333337,0.37366666666666665,0.257
APO2,2020,OCTUBRE,4_ANIOS,1813,2435,858754,685,0.2776666666666667,0.24866666666666667,2.4446666666666665,0.3476666666666666
APO2,2020,SETIEMBRE,4_ANIOS,1734,2435,749638,695,0.27266666666666667,0.359,18.492,0.5363333333333333
APO2,2021,ABRIL,4_ANIOS,1895,2501,268268,209,0.19400000000000003,0.118,9.826666666666666,0.4656666666666667
APO2,2021,AGOSTO,4_ANIOS,1918,2501,629819,246,0.2356666666666667,0.17866666666666667,3.763666666666667,0.47100000000000003
APO2,2021,DICIEMBRE,4_ANIOS,1950,2501,486866,162,0.25633333333333336,0.31466666666666665,3.602,0.19433333333333333
APO2,2021,ENERO,4_ANIOS,1812,2501,822309,249,0.26566666666666666,0.19933333333333333,1.514,0.19133333333333336
APO2,2021,FEBRERO,4_ANIOS,1810,2501,677118,248,0.19699999999999998,0.17933333333333334,0.25233333333333335,0.5203333333333333
APO2,2021,JULIO,4_ANIOS,1882,2501,647735,204,0.2763333333333334,0.399,2.0196666666666663,0.2416666666666667
APO2,2021,JUNIO,4_ANIOS,1879,2501,696098,221,0.204,0.39799999999999996,1.1183333333333334,0.7433333333333333
