CENTRO_SALUD,ANIO,DEPARTAMENTO,RANGO_EDAD,EFERMERDAD,MES,COBERTURA,CANTIDAD,PROVINCIA,DISTRITO,RED,MICRORRED,DESCRIPCION_ESTABLECIMIENTO,CANTIDAD DE PERSONAL,POBLACION,PRESUPUESTO
SANIDAD AEREA,2019,UCAYALI,3_ANIOS,INFLUENZA,JUNIO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1235133
SANIDAD AEREA,2019,UCAYALI,3_ANIOS,INFLUENZA,MARZO,0,0,,,,,,,,1003216
SANIDAD AEREA,2019,UCAYALI,3_ANIOS,INFLUENZA,MAYO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1030125
SANIDAD AEREA,2019,UCAYALI,3_ANIOS,INFLUENZA,NOVIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1813790
SANIDAD AEREA,2019,UCAYALI,3_ANIOS,INFLUENZA,OCTUBRE,0,0,,,,,,,,619318
SANIDAD AEREA,2019,UCAYALI,3_ANIOS,INFLUENZA,SETIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,85800
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,APO2,ABRIL,0,0,,,,,,,,998497
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,APO2,AGOSTO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,3650033
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,APO2,DICIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1953340
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,APO2,ENERO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,1,115625,924269
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,APO2,FEBRERO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,1,115625,1000320
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,APO2,JULIO,0,0,,,,,,,,1352080
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,APO2,JUNIO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1235133
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,APO2,MARZO,0,0,,,,,,,,1003216
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,APO2,MAYO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1030125
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,APO2,NOVIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1813790
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,APO2,OCTUBRE,0,0,,,,,,,,619318
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,APO2,SETIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,85800
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,DPT2,ABRIL,0,0,,,,,,,,998497
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,DPT2,AGOSTO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,3650033
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,DPT2,DICIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1953340
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,DPT2,ENERO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,1,115625,924269
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,DPT2,FEBRERO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,1,115625,1000320
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,DPT2,JULIO,0,0,,,,,,,,1352080
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,DPT2,JUNIO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1235133
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,DPT2,MARZO,0,0,,,,,,,,1003216
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,DPT2,MAYO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1030125
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,DPT2,NOVIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1813790
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,DPT2,OCTUBRE,0,0,,,,,,,,619318
SANIDAD AEREA,2019,UCAYALI,4_ANIOS,DPT2,SETIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,85800
SANIDAD AEREA,2019,UCAYALI,<1_ANIO,APO,ABRIL,0,0,,,,,,,,998497
SANIDAD AEREA,2019,UCAYALI,<1_ANIO,APO,AGOSTO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,3650033
SANIDAD AEREA,2019,UCAYALI,<1_ANIO,APO,DICIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1953340
SANIDAD AEREA,2019,UCAYALI,<1_ANIO,APO,ENERO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,1,115625,924269
SANIDAD AEREA,2019,UCAYALI,<1_ANIO,APO,FEBRERO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,1,115625,1000320
SANIDAD AEREA,2019,UCAYALI,<1_ANIO,APO,JULIO,0,0,,,,,,,,1352080
SANIDAD AEREA,2019,UCAYALI,<1_ANIO,APO,JUNIO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1235133
SANIDAD AEREA,2019,UCAYALI,<1_ANIO,APO,MARZO,0,0,,,,,,,,1003216
SANIDAD AEREA,2019,UCAYALI,<1_ANIO,APO,MAYO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1030125
SANIDAD AEREA,2019,UCAYALI,<1_ANIO,APO,NOVIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1813790
SANIDAD AEREA,2019,UCAYALI,<1_ANIO,APO,OCTUBRE,0,0,,,,,,,,619318
SANIDAD AEREA,2019,UCAYALI,<1_ANIO,APO,SETIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,85800
SANIDAD AEREA,2019,UCAYALI,<1_ANIO,PENTA,ABRIL,0,0,,,,,,,,998497
SANIDAD AEREA,2019,UCAYALI,<1_ANIO,PENTA,AGOSTO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,3650033
SANIDAD AEREA,2019,UCAYALI,<1_ANIO,PENTA,DICIEMBRE,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1953340
SANIDAD AEREA,2019,UCAYALI,<1_ANIO,PENTA,ENERO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,1,115625,924269
SANIDAD AEREA,2019,UCAYALI,<1_ANIO,PENTA,FEBRERO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,1,115625,1000320
SANIDAD AEREA,2019,UCAYALI,<1_ANIO,PENTA,JULIO,0,0,,,,,,,,1352080
SANIDAD AEREA,2019,UCAYALI,<1_ANIO,PENTA,JUNIO,0,0,CORONEL PORTILLO,YARINACOCHA,FEDERICO BASADRE - YARINACOCHA,NUEVO PARAISO,SANIDAD AEREA,2,115625,1235133
